Economy ,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Serbia,SRB,,,,,,,,,,,,,,,,,,,57.1,24.0,22.6,20.6,18.9,22.8,24.6,23.5,24.2,21.7,19.8
South Africa,ZAF,,,,,,,,,,,56.7,55.9,51.7,51.3,51.1,53.0,54.1,53.7,35.5,33.7,34.1,33.0,32.1,32.6,32.5,34.8,34.3,34.7,35.3
Sri Lanka,LKA,,,,,,,,,,,,,,,,,,,,,71.0,70.8,,70.8,69.9,69.6,69.7,68.2,
Sudan,SDN,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,,,
Tanzania,TZA,,,,,,,,,,,,,,,,,,,,,,,,,90.8,,,,
Thailand,THA,,,,,,,,,,,,,,,,,,,,,,,,,62.8,62.3,74.2,66.8,64.1
Timor-Leste,TLS,,,,,,,,,,,,,,,,,,,,,71.4,,,71.6,,,,,
Togo,TGO,,,,,,,,,,,,,,,,,,,,,,,,,95.1,,,90.1,
Tonga,TON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.9
Uganda,UGA,,,,,,,,,,,,,,,,,,,,,,,91.7,,,,,89.4,
Uruguay,URY,,,,,,,,,,,,,,,,,44.4,44.0,42.8,41.9,40.9,38.4,36.2,35.4,23.6,23.9,24.5,24.1,24.0
Vietnam,VNM,,,,,,,,,,,,,,,,,,81.9,,81.6,,,,79.5,76.9,75.5,74.1,73.3,71.4
West Bank and Gaza,PSE,,,,,,,,,,,,,,,,,,,,,56.8,55.7,56.2,56.7,55.4,55.8,54.3,54.6,53.6
"Yemen, Rep.",YEM,,,,,,,,,,,,,,,,,,,,,,,,,77.4,,,,
Zambia,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5,69.2
Zimbabwe,ZWE,,,,,,,,,,,,,,,,,,,,,,85.6,,,87.4,,,,
