Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Botswana,BWA,..,12.8888379511571,11.9026775503766,14.532408574441,18.1018746280424,20.0905899671611,15.2070441944117,15.1036491792027,12.1919817916607,17.9837464083535,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Brazil,BRA,..,2.26874332008211,2.18994066740579,1.89926698706597,1.72823851179057,1.57789459442645,1.62407631781024,1.7379789498387,1.97977715576373,2.73403227219027,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Brunei Darussalam,BRN,..,1.68713489346446,1.64316081874379,1.95167476174581,2.54979651952775,2.64696809375176,2.39392708838209,2.4088049094354,2.38224666645349,1.00174036538163,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Bulgaria,BGR,..,1.73836561538001,1.68270919476555,1.61970274035064,1.84883877235409,2.02592530800601,1.96769979993671,1.95781337782393,1.7615514542198,1.40620457247086,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Burkina Faso,BFA,..,..,..,..,..,..,0.292271390090449,0.328520071893579,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Cabo Verde,CPV,..,2.93368450989848,3.05730866116492,3.02838144568174,3.72425943638959,9.15542228885557,12.206759889749,16.2002335616495,16.3721420785526,13.0448760884126,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Cambodia,KHM,..,0.359847751977409,0.310701383921817,0.392775221168156,0.442719716322606,0.417697975584085,0.527546021397857,0.671346836535525,0.907710892993785,0.542408695079606,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..
