,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021
Country/Territory,Code,Estimate ,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Burkina Faso,BFA,-0.3,0.35,3,42.39,21.2,62.5,-0.23,0.38,3,42.39,20.11,64.67,-0.16,0.36,3,46.74,21.74,65.22,-0.14,0.26,4,50.27,33.51,61.62,-0.36,0.21,4,42.7,24.32,55.14,-0.33,0.19,6,43.78,25.87,52.74,-0.46,0.16,7,37.25,24.51,49.02,-0.4,0.16,10,39.71,25.49,50.49,-0.31,0.16,10,43.69,29.13,51.94,-0.23,0.16,10,48.06,35.92,53.4,-0.14,0.15,10,49.76,37.8,55.02,-0.21,0.15,10,46.41,34.93,53.59,-0.21,0.15,10,46.45,34.12,54.03,-0.14,0.17,11,46.92,36.49,55.92,-0.2,0.17,11,45.97,34.6,54.5,-0.34,0.17,11,40.38,29.33,49.52,-0.41,0.16,10,38.94,28.37,49.04,-0.44,0.16,10,35.58,25.96,47.6,-0.46,0.17,10,34.13,24.52,44.23,-0.39,0.16,10,36.54,27.4,47.6,-0.41,0.16,11,37.02,26.92,46.63,-0.47,0.17,9,35.58,25,43.75,-0.47,0.16,9,36.06,25.48,45.67
Bangladesh,BGD,-0.93,0.31,4,17.93,5.98,33.7,-1.05,0.33,4,15.22,5.98,28.8,-0.94,0.26,5,16.3,8.7,29.89,-1.06,0.22,6,14.59,5.95,25.95,-1.04,0.19,6,16.76,7.57,22.7,-1.18,0.2,7,12.44,5.97,19.9,-1.08,0.16,9,15.2,7.35,22.55,-1.01,0.19,10,17.16,8.33,23.53,-0.95,0.19,10,18.45,8.74,25.24,-0.91,0.17,10,18.93,9.71,28.16,-0.87,0.16,10,22.01,12.44,29.67,-0.86,0.16,10,20.57,12.92,30.62,-0.82,0.16,11,22.75,13.27,32.23,-0.96,0.17,11,18.48,9,27.49,-0.92,0.17,11,20.38,9.95,28.91,-0.96,0.19,11,16.83,8.17,28.37,-0.91,0.18,11,17.31,9.62,28.85,-0.8,0.19,11,22.12,10.58,31.73,-0.81,0.18,11,21.15,10.58,31.25,-0.84,0.18,11,18.75,10.58,30.77,-0.93,0.18,11,15.87,9.13,28.37,-0.9,0.2,10,16.35,10.58,30.77,-0.85,0.19,10,20.67,10.1,32.21
Bulgaria,BGR,-0.18,0.3,5,47.28,24.46,63.04,0.19,0.29,5,59.24,38.59,70.65,0.2,0.24,7,60.33,41.85,69.02,0.53,0.21,8,67.57,60.54,73.51,0.67,0.18,8,68.65,63.78,77.3,0.71,0.19,8,71.64,64.18,79.1,0.66,0.16,8,69.61,61.76,76.47,0.62,0.18,10,69.61,60.29,76.96,0.64,0.19,10,70.87,61.65,78.16,0.73,0.19,10,73.3,64.08,81.07,0.69,0.18,10,73.21,63.64,78.95,0.68,0.18,10,73.68,63.64,79.43,0.55,0.17,11,69.19,59.72,75.83,0.57,0.18,11,69.19,60.19,76.78,0.55,0.18,11,67.77,60.66,76.78,0.59,0.19,11,70.19,62.02,79.33,0.59,0.18,11,70.67,63.46,77.4,0.71,0.19,10,74.52,66.83,81.73,0.67,0.2,9,73.56,66.35,80.29,0.62,0.2,9,72.6,63.46,79.81,0.54,0.2,9,70.67,62.02,75.96,0.47,0.21,8,66.83,58.17,75,0.45,0.21,8,67.79,56.73,73.56
Bahrain,BHR,0.79,0.31,4,74.46,62.5,88.59,0.76,0.33,4,72.83,60.33,90.22,0.75,0.31,4,75.54,61.41,88.04,0.87,0.22,6,73.51,65.95,84.86,0.62,0.2,5,67.03,61.62,76.76,0.7,0.2,6,71.14,63.68,79.1,0.66,0.17,6,70.1,61.76,76.96,0.68,0.21,6,71.08,60.78,79.9,0.76,0.22,6,72.82,64.08,83.98,0.71,0.22,6,72.33,62.14,81.55,0.69,0.2,7,72.73,62.2,79.9,0.71,0.2,7,74.16,63.64,81.34,0.72,0.2,7,75.36,62.09,80.09,0.68,0.23,7,72.99,61.14,80.57,0.6,0.22,7,70.14,59.72,79.15,0.7,0.23,7,73.08,63.46,82.21,0.82,0.22,7,76.92,66.83,84.62,0.6,0.23,7,70.67,62.98,81.25,0.41,0.23,6,67.31,55.77,75.96,0.41,0.23,6,67.31,57.21,75.48,0.48,0.22,7,67.79,61.54,75.48,0.63,0.24,6,72.6,58.65,81.73,0.85,0.22,7,76.44,68.27,85.1
"Bahamas, The",BHS,0.97,0.35,3,78.26,64.67,93.48,1.01,0.38,3,83.15,64.67,95.11,1.14,0.36,3,85.33,67.93,95.65,1.3,0.29,3,87.57,72.43,97.84,1.15,0.24,3,83.24,71.89,91.89,1.12,0.26,3,81.59,70.65,91.54,1.1,0.2,3,79.9,71.08,90.69,1.05,0.26,3,80.39,70.1,92.16,1.03,0.29,3,81.55,67.48,92.23,1.05,0.3,3,81.55,66.02,93.2,0.8,0.26,4,74.16,62.68,85.65,0.55,0.28,4,67.94,54.55,79.9,0.52,0.28,4,67.77,54.03,79.15,0.39,0.28,4,63.98,50.24,76.3,0.19,0.28,4,58.29,44.55,72.04,0.17,0.28,4,56.73,42.31,70.67,0.16,0.25,5,58.17,45.19,69.23,0.25,0.25,5,64.42,47.6,71.63,0.12,0.25,5,59.62,40.87,70.67,0.18,0.25,5,62.5,44.23,71.15,-0.05,0.24,5,50,35.58,64.9,0.01,0.26,5,51.92,37.02,64.9,0.06,0.26,5,53.85,39.9,68.27
Bosnia and Herzegovina,BIH,-0.91,0.32,3,19.57,5.98,36.96,-1.03,0.3,4,16.3,6.52,27.72,-0.68,0.28,5,24.46,13.04,41.3,-0.61,0.23,6,29.73,17.84,45.41,-0.47,0.19,6,37.84,21.08,51.89,-0.23,0.19,8,46.77,29.85,56.72,-0.58,0.16,9,30.39,21.08,43.63,-0.47,0.19,9,35.29,21.57,50,-0.29,0.19,9,45.63,27.18,53.4,-0.18,0.18,9,50.49,35.92,55.34,-0.11,0.17,9,50.72,37.8,56.94,-0.12,0.17,9,50.24,38.28,54.55,-0.06,0.17,8,52.13,39.81,56.87,-0.06,0.17,11,51.66,40.76,57.35,-0.07,0.17,11,50.24,39.34,58.29,-0.04,0.2,9,50.48,38.46,63.46,-0.17,0.19,10,47.6,35.1,56.73,-0.13,0.2,9,49.04,34.13,61.54,-0.04,0.21,8,51.44,36.54,64.9,-0.13,0.21,8,48.08,34.13,62.5,-0.11,0.21,8,48.56,35.1,62.02,-0.17,0.23,7,44.71,31.25,58.65,-0.18,0.24,6,46.15,31.73,60.1
Belarus,BLR,-1.09,0.34,3,14.13,4.35,26.63,-1.5,0.32,4,7.07,2.17,16.3,-1.5,0.31,5,7.61,2.72,15.22,-1.4,0.24,6,6.49,2.7,16.22,-1.3,0.2,6,8.65,3.24,17.84,-1.19,0.21,6,11.44,5.47,19.9,-1.44,0.18,6,6.86,1.96,11.76,-1.6,0.2,7,3.92,2.45,8.82,-1.42,0.2,7,6.8,2.43,16.02,-1.25,0.21,7,8.25,3.4,18.93,-1.16,0.2,7,12.44,5.26,22.01,-1.19,0.19,7,10.05,5.74,20.1,-1.32,0.19,7,8.06,2.84,17.06,-1.17,0.19,9,11.37,4.74,21.8,-1.16,0.19,9,11.37,6.16,22.75,-1.1,0.2,9,12.5,5.77,25.48,-1.14,0.2,9,11.54,4.81,23.08,-1.08,0.2,8,12.5,5.77,23.56,-0.84,0.21,7,18.75,10.58,33.17,-0.8,0.21,7,19.23,10.58,35.1,-0.66,0.21,7,27.4,12.5,39.9,-0.78,0.22,6,22.12,10.58,37.02,-0.92,0.22,6,17.79,8.65,32.21
Belize,BLZ,0.14,0.36,2,61.41,30.43,72.28,0.2,0.39,2,59.78,30.98,75,0.21,0.37,2,60.87,34.24,77.72,0.15,0.34,2,59.46,39.46,70.81,0.17,0.26,2,58.38,48.11,66.49,-0.12,0.28,3,49.25,28.86,63.68,0.07,0.2,3,54.9,47.06,61.76,-0.3,0.25,4,44.12,23.04,55.39,-0.35,0.28,4,40.29,21.84,57.28,-0.38,0.26,4,40.29,21.36,53.88,-0.37,0.26,4,39.23,23.44,54.55,-0.34,0.27,4,40.19,23.44,54.55,-0.38,0.26,5,38.39,23.22,54.03,-0.44,0.27,4,36.02,21.8,52.61,-0.45,0.27,4,35.55,21.8,53.08,-0.46,0.27,4,34.13,18.27,51.44,-0.42,0.25,5,36.54,22.6,51.92,-0.48,0.26,5,32.21,17.79,51.92,-0.54,0.25,5,30.77,15.87,48.08,-0.65,0.26,5,28.37,11.54,44.23,-0.55,0.25,5,31.73,13.94,47.6,-0.54,0.27,5,31.73,14.42,47.6,-0.42,0.28,4,37.5,18.75,52.88
Bermuda,BMU,1.51,0.39,1,92.39,76.63,99.46,1.48,0.44,1,93.48,72.28,100,1.46,0.42,1,91.85,76.09,100,1.42,0.37,1,90.81,72.43,100,1.41,0.28,1,90.27,77.3,99.46,1.44,0.32,1,89.55,78.11,100,1.36,0.21,1,90.69,78.43,99.02,1.35,0.31,1,91.18,73.53,99.51,1.38,0.37,1,90.78,73.79,99.51,1.4,0.38,1,91.26,73.79,100,1.41,0.41,1,91.39,73.21,100,1.39,0.46,1,89.95,70.81,100,1.37,0.46,1,90.05,70.14,100,1.32,0.5,1,88.63,67.77,100,1.32,0.5,1,89.1,67.3,100,0.88,0.51,1,78.37,53.37,94.23,0.91,0.46,1,78.85,57.69,92.79,0.87,0.49,1,78.37,56.25,92.31,0.84,0.47,1,78.37,56.73,91.83,0.82,0.49,1,77.4,55.29,92.31,0.84,0.49,1,75.48,57.21,94.23,0.94,0.52,1,79.81,56.73,96.63,0.96,0.49,1,81.25,57.69,96.63
Bolivia,BOL,0,0.31,4,54.35,28.8,66.3,0.17,0.33,4,58.7,34.78,72.28,0.02,0.26,5,54.89,33.7,65.22,-0.09,0.22,6,51.35,37.84,61.62,-0.15,0.19,6,50.81,37.84,57.84,-0.27,0.2,7,45.27,28.86,56.22,-0.69,0.16,8,25,18.63,39.22,-0.89,0.19,9,20.1,10.78,29.41,-0.99,0.19,9,16.99,8.25,25.24,-0.86,0.18,9,20.39,11.65,30.1,-0.87,0.17,9,21.53,12.44,29.67,-0.8,0.17,9,22.97,14.35,33.01,-0.76,0.16,10,24.17,15.17,33.18,-0.83,0.18,10,22.75,12.32,31.75,-0.79,0.18,10,24.17,14.69,34.12,-0.89,0.19,10,19.71,9.62,31.25,-0.9,0.18,10,18.27,10.1,30.77,-1.01,0.21,9,12.98,6.25,26.92,-0.98,0.2,8,15.38,8.17,28.37,-0.99,0.2,8,12.98,8.17,27.4,-0.99,0.2,9,13.46,8.17,26.92,-1.02,0.21,8,13.46,8.17,27.88,-1.15,0.2,8,11.06,5.29,22.12
Brazil,BRA,0.3,0.28,6,63.04,49.46,72.28,0.33,0.27,6,63.04,48.37,73.37,0.26,0.23,6,62.5,48.91,69.57,0.18,0.21,7,60.54,48.11,67.03,0.2,0.18,7,60.54,52.97,65.95,0.04,0.19,8,55.72,44.78,63.68,0.04,0.16,8,54.41,48.53,60.29,-0.04,0.19,9,53.92,41.67,57.84,-0.02,0.2,9,52.43,40.78,60.68,0.08,0.19,9,54.37,47.57,63.11,0.13,0.19,9,55.98,48.33,63.64,0.25,0.19,9,59.81,52.15,67.94,0.26,0.18,10,59.72,52.13,68.72,0.17,0.19,10,56.87,46.45,67.77,0.15,0.19,10,56.4,46.45,66.35,-0.03,0.2,10,50.96,39.42,63.46,-0.16,0.19,10,48.08,35.1,56.73,-0.18,0.2,10,47.6,31.73,60.1,-0.12,0.19,10,48.56,34.62,62.02,-0.28,0.19,10,40.87,29.33,56.25,-0.11,0.19,10,49.04,36.54,62.02,-0.1,0.2,9,48.08,37.02,59.13,-0.11,0.21,8,48.08,36.06,60.58
Barbados,BRB,1.29,0.36,2,88.59,71.74,98.37,1.28,0.39,2,89.67,70.65,98.37,1.26,0.37,2,88.59,69.57,98.91,1.08,0.34,2,82.7,67.57,94.59,1.12,0.26,2,81.62,70.81,91.89,1.08,0.28,3,80.1,68.66,91.54,1.15,0.2,3,83.82,72.55,91.67,1,0.26,4,79.9,66.67,91.67,1.08,0.29,4,83.01,67.96,93.2,0.88,0.31,3,76.21,62.14,89.32,0.58,0.28,4,69.38,55.5,80.38,0.51,0.29,4,66.99,53.59,79.43,0.64,0.29,4,72.99,55.92,81.99,0.45,0.29,4,65.88,52.61,77.25,0.45,0.28,4,66.35,53.08,78.2,0.34,0.3,4,64.42,48.56,76.44,0.56,0.26,4,68.75,56.73,80.29,0.48,0.27,5,67.31,55.29,79.33,0.49,0.27,4,70.67,56.25,79.33,0.54,0.27,4,70.67,59.13,81.25,0.41,0.26,5,66.35,51.44,74.52,0.48,0.27,5,67.31,52.88,77.88,0.56,0.28,5,71.63,56.73,82.21
Brunei Darussalam,BRN,1.35,0.37,2,89.67,72.28,98.91,0.89,0.42,2,76.09,59.78,94.57,0.94,0.4,2,79.35,63.59,94.02,1.05,0.31,2,80.54,67.57,93.51,1,0.25,2,78.38,66.49,88.65,1.2,0.27,2,84.58,72.14,95.02,0.91,0.2,2,76.47,66.18,84.31,0.94,0.27,2,77.94,65.2,91.18,0.99,0.32,2,80.1,65.53,92.23,0.78,0.32,3,74.27,58.74,87.38,1.08,0.27,4,81.82,70.33,93.78,1.11,0.3,4,81.82,70.81,93.78,1.15,0.31,4,84.36,72.51,95.26,1.15,0.31,4,84.83,71.56,95.26,1.1,0.27,5,82.46,72.04,91.94,0.98,0.28,4,79.81,67.79,90.38,0.85,0.27,4,77.4,65.87,88.46,0.59,0.27,6,69.71,60.58,81.73,0.71,0.26,6,75.48,64.9,82.21,0.68,0.26,6,74.52,62.98,83.17,0.63,0.26,6,73.56,62.02,82.21,0.92,0.29,4,76.92,64.9,90.38,0.99,0.29,4,81.73,69.23,90.87
Bhutan,BTN,-0.41,0.39,1,34.24,14.67,62.5,-0.41,0.44,1,33.15,13.59,61.96,-0.43,0.42,1,32.61,14.67,61.96,-0.51,0.37,1,35.68,13.51,57.3,-0.05,0.28,1,55.14,34.59,64.32,-0.92,0.3,2,18.91,6.97,38.81,-0.29,0.19,5,46.08,29.41,53.92,-0.58,0.23,5,29.9,17.65,49.51,-0.71,0.23,5,23.79,16.02,41.26,-0.77,0.19,6,22.82,16.02,36.89,-1.07,0.18,7,14.35,6.22,23.44,-1.16,0.17,7,11,5.74,19.62,-1.15,0.17,7,11.37,5.69,21.8,-1.09,0.19,7,12.8,7.11,24.17,-1.09,0.19,8,14.69,6.64,24.17,-1.01,0.21,8,15.87,7.21,28.37,-0.72,0.2,8,27.4,13.46,39.9,-0.67,0.21,8,26.92,12.5,40.87,-0.33,0.21,7,40.38,27.4,55.29,-0.33,0.22,6,38.94,25.96,56.25,-0.31,0.23,6,40.87,26.44,58.65,-0.29,0.24,6,41.35,26.92,57.21,-0.37,0.22,7,39.9,25.48,51.92
South Sudan,SSD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.72,0.35,1,2.84,0.47,11.37,-1.45,0.23,5,6.16,2.37,13.27,-1.52,0.23,5,5.21,1.42,12.32,-1.64,0.21,6,4.33,1.92,8.17,-1.65,0.2,6,3.37,1.92,6.25,-1.79,0.2,6,2.88,0.96,5.77,-1.92,0.2,6,2.88,0,3.37,-2.02,0.2,6,2.4,0.48,3.37,-1.97,0.2,6,2.88,0.48,4.81,-1.99,0.21,5,2.4,0,4.33,-1.98,0.2,5,2.4,0,3.85
Botswana,BWA,0.65,0.31,4,70.65,60.33,83.7,0.83,0.33,4,75,61.41,91.3,0.8,0.31,4,77.17,63.59,89.13,0.9,0.22,6,74.59,67.57,87.03,0.84,0.19,6,72.97,65.95,83.24,0.76,0.2,7,74.13,64.68,80.6,0.72,0.17,7,71.08,62.75,77.94,0.61,0.2,8,69.12,58.33,76.96,0.63,0.21,8,70.39,60.19,79.13,0.64,0.2,8,69.42,61.17,79.13,0.61,0.19,8,69.86,62.2,77.03,0.58,0.19,8,68.42,59.81,77.03,0.58,0.19,8,69.67,59.72,77.25,0.69,0.2,9,73.46,63.51,79.62,0.64,0.2,9,72.04,62.09,79.15,0.76,0.22,8,75.96,65.38,82.69,0.56,0.2,9,69.23,61.54,77.4,0.74,0.21,8,75.48,66.35,83.17,0.61,0.2,8,72.12,64.42,79.33,0.63,0.2,8,73.56,63.94,80.77,0.51,0.2,8,69.23,62.02,74.52,0.54,0.21,8,70.67,58.65,76.44,0.61,0.21,8,72.12,61.06,79.33
Central African Republic,CAF,-0.89,0.39,1,21.2,5.43,45.11,-0.88,0.44,1,20.11,5.98,46.74,-0.9,0.42,1,17.39,5.98,41.3,-0.98,0.28,3,18.38,5.95,35.14,-1.12,0.23,3,14.59,4.32,22.7,-1.2,0.2,5,9.95,5.47,19.4,-1.32,0.16,6,9.31,3.92,15.69,-1.27,0.18,6,9.31,3.92,17.65,-1.27,0.18,6,8.74,4.37,17.48,-1.19,0.18,5,10.19,3.88,18.93,-1.26,0.16,8,8.13,4.78,16.75,-1.16,0.16,8,10.53,5.74,19.14,-1.2,0.16,8,9.95,5.69,20.38,-1.07,0.18,8,13.27,7.58,24.64,-1.17,0.18,8,10.9,6.16,21.8,-1.39,0.19,8,6.73,3.37,12.5,-1.42,0.18,8,5.77,2.4,12.02,-1.41,0.18,8,6.25,2.88,10.58,-1.48,0.18,8,5.29,3.37,10.58,-1.38,0.18,8,7.21,3.37,11.54,-1.36,0.18,8,7.69,4.33,11.54,-1.48,0.19,7,6.73,3.85,10.58,-1.49,0.18,7,5.29,3.37,9.62
Canada,CAN,1.49,0.28,6,91.3,80.98,98.91,1.54,0.27,6,94.57,85.33,99.46,1.46,0.23,6,92.39,82.07,98.37,1.53,0.23,6,92.43,83.24,100,1.52,0.2,6,91.35,85.41,99.46,1.62,0.21,6,94.53,86.57,100,1.57,0.17,6,93.63,87.75,100,1.56,0.21,7,93.63,85.29,99.51,1.61,0.22,7,94.17,86.41,99.51,1.65,0.23,7,95.63,86.89,100,1.7,0.22,7,96.65,87.56,100,1.69,0.24,7,96.17,86.12,100,1.68,0.22,8,95.73,88.15,100,1.71,0.23,8,95.73,89.1,100,1.73,0.22,8,95.26,89.57,100,1.84,0.23,8,97.6,90.87,99.52,1.71,0.22,8,93.75,89.9,99.04,1.74,0.23,8,94.23,88.94,99.04,1.88,0.22,8,97.6,91.35,100,1.7,0.22,8,94.23,88.46,99.04,1.71,0.22,8,95.67,88.94,99.52,1.6,0.23,7,94.23,85.58,99.52,1.62,0.23,7,94.23,86.06,99.52
Switzerland,CHE,1.56,0.28,6,95.11,83.7,98.91,1.64,0.27,6,96.2,86.41,99.46,1.79,0.23,6,97.83,90.22,100,1.73,0.23,6,97.84,88.65,100,1.68,0.2,6,96.76,88.65,100,1.64,0.21,6,95.02,87.06,100,1.55,0.17,6,93.14,86.76,100,1.5,0.22,6,92.65,84.31,99.51,1.65,0.23,6,95.15,86.41,100,1.56,0.24,6,93.69,84.47,99.51,1.55,0.22,7,94.26,84.21,100,1.62,0.24,7,94.74,85.17,100,1.62,0.23,7,94.79,86.26,100,1.65,0.24,7,95.26,86.73,100,1.62,0.24,7,94.31,86.26,100,1.8,0.25,7,96.15,89.9,99.52,1.74,0.24,7,95.19,89.9,99.04,1.91,0.25,7,98.08,91.83,100,1.88,0.24,7,97.12,90.87,100,1.8,0.24,7,97.12,89.9,99.52,1.66,0.24,7,94.71,86.54,99.52,1.59,0.26,6,93.75,83.65,99.52,1.73,0.26,6,95.67,86.54,99.52
Chile,CHL,1.54,0.28,6,94.02,83.15,98.91,1.38,0.27,6,91.3,78.26,97.28,1.4,0.23,6,90.22,81.52,97.28,1.32,0.21,7,88.11,79.46,94.59,1.33,0.18,7,88.65,78.92,94.59,1.37,0.19,8,88.56,79.6,95.52,1.31,0.16,8,88.73,78.43,93.63,1.42,0.19,9,91.67,83.33,97.55,1.49,0.2,9,91.75,85.44,98.06,1.5,0.2,8,92.72,84.47,98.06,1.43,0.19,8,91.87,82.78,97.13,1.42,0.2,8,90.43,81.34,97.61,1.44,0.19,9,91.47,83.41,95.73,1.54,0.2,9,92.42,86.26,98.58,1.48,0.2,9,91.94,85.31,97.63,1.48,0.21,9,91.83,83.65,97.12,1.33,0.2,9,88.94,80.29,92.31,1.37,0.2,9,89.9,81.73,93.27,1.33,0.2,9,88.94,80.29,93.27,1.31,0.2,9,87.98,81.25,93.27,1.17,0.2,9,83.65,75.48,91.35,0.96,0.21,8,80.77,72.12,87.5,0.95,0.21,8,79.33,71.63,86.54
China,CHN,-0.27,0.28,6,45.11,23.37,61.96,-0.27,0.27,6,40.22,22.83,58.7,-0.32,0.23,6,36.96,23.91,56.52,-0.58,0.21,7,31.89,18.92,44.86,-0.39,0.18,7,41.08,24.86,52.97,-0.35,0.19,8,42.79,25.37,52.74,-0.18,0.16,8,49.51,37.75,55.39,-0.26,0.19,9,47.06,29.9,54.41,-0.23,0.2,9,49.03,30.58,57.28,-0.22,0.19,9,48.54,32.52,54.85,-0.3,0.19,9,43.54,29.67,53.11,-0.32,0.19,9,40.67,28.71,52.63,-0.26,0.18,10,42.65,32.7,54.03,-0.28,0.19,10,42.65,29.86,53.08,-0.33,0.19,10,41.23,28.91,53.08,-0.33,0.2,10,41.35,28.37,51.92,-0.34,0.19,10,43.27,28.37,51.92,-0.3,0.2,10,41.35,28.37,54.33,-0.16,0.19,10,46.15,33.65,60.1,-0.22,0.19,10,44.71,32.21,59.62,-0.29,0.19,9,42.79,28.85,55.29,-0.19,0.21,8,44.23,32.21,58.17,-0.31,0.21,8,41.35,27.4,52.88
Côte d'Ivoire,CIV,-0.4,0.31,4,36.41,19.57,59.24,-0.29,0.33,4,39.13,20.65,61.41,-0.55,0.31,4,28.26,14.67,51.63,-0.42,0.23,5,38.38,21.08,53.51,-0.75,0.2,5,22.7,15.14,37.84,-1.03,0.18,7,15.92,7.46,21.89,-0.96,0.15,8,19.12,11.27,24.51,-0.93,0.16,9,19.12,10.78,25.49,-0.88,0.16,8,19.9,11.65,26.7,-0.93,0.16,10,18.45,10.68,27.18,-0.97,0.15,10,17.22,8.13,25.36,-0.93,0.15,10,19.14,10.05,26.32,-0.89,0.15,10,21.8,11.37,28.91,-0.78,0.17,11,24.64,14.22,32.7,-0.75,0.17,11,24.64,15.64,34.6,-0.62,0.17,11,30.29,18.75,40.87,-0.54,0.16,11,33.17,24.52,44.71,-0.41,0.16,11,37.5,26.44,48.08,-0.39,0.17,10,36.54,27.88,48.08,-0.24,0.16,10,44.23,32.69,54.81,-0.29,0.16,11,43.27,31.25,50.96,-0.37,0.17,10,38.94,29.81,48.56,-0.26,0.16,10,43.75,32.69,51.92
Cameroon,CMR,-1.12,0.31,4,13.04,4.89,25,-0.91,0.33,4,17.93,8.15,35.33,-0.82,0.31,4,20.65,9.78,38.59,-1.02,0.23,5,15.68,5.95,28.11,-0.97,0.19,6,18.38,8.65,25.41,-0.72,0.18,7,23.38,16.42,37.31,-0.91,0.15,9,20.59,11.76,25,-0.84,0.16,10,21.08,14.22,29.41,-0.84,0.16,10,20.87,15.53,28.64,-0.82,0.16,10,20.87,16.5,30.1,-0.77,0.15,10,24.4,15.31,33.01,-0.75,0.15,10,25.36,18.18,33.01,-0.81,0.15,11,23.22,13.27,32.23,-0.93,0.17,11,20.85,9.95,28.44,-0.96,0.17,11,18.01,9.48,26.54,-0.9,0.17,11,19.23,9.62,30.29,-0.92,0.16,11,16.83,10.58,28.37,-0.8,0.16,11,22.6,12.5,30.29,-0.83,0.16,11,20.19,11.06,30.29,-0.8,0.16,11,19.71,12.02,31.73,-0.83,0.16,11,18.27,11.06,31.25,-0.82,0.17,10,21.15,11.54,31.25,-0.92,0.16,10,17.31,9.62,27.4
"Congo, Rep.",COG,-1.23,0.35,3,10.87,2.17,24.46,-1.3,0.38,3,10.33,2.72,24.46,-1.2,0.36,3,12.5,3.26,26.09,-1,0.29,3,16.76,5.95,35.14,-1.17,0.24,3,12.97,3.24,21.62,-1.01,0.21,5,16.92,7.46,25.37,-1.3,0.15,8,9.8,4.41,15.69,-1.17,0.17,8,11.76,5.88,19.61,-1.17,0.16,8,11.65,5.83,18.93,-1.22,0.16,8,9.22,3.88,17.96,-1.28,0.16,9,6.7,4.78,15.31,-1.25,0.15,9,8.13,5.74,18.18,-1.26,0.16,9,9,4.74,17.54,-1.35,0.18,9,8.06,2.37,14.22,-1.35,0.18,9,7.58,2.37,15.17,-1.22,0.18,9,9.13,4.33,17.31,-1.26,0.2,8,7.21,4.33,16.35,-1.2,0.2,8,10.1,4.81,19.71,-1.4,0.2,8,6.73,3.37,12.5,-1.4,0.2,8,6.73,3.37,11.54,-1.34,0.2,8,8.17,4.33,12.5,-1.58,0.22,7,4.81,2.4,10.58,-1.35,0.19,8,7.69,3.85,13.46
