,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021
Country/Territory,Code,Estimate ,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Argentina,ARG,0.52,0.28,6,66.85,57.61,78.26,0.52,0.27,6,66.85,54.35,78.8,0.18,0.23,6,59.24,41.3,68.48,-0.88,0.21,7,20.54,10.81,33.51,-0.69,0.18,7,24.86,17.84,40.54,-0.7,0.19,8,24.38,16.92,39.3,-0.53,0.16,8,32.35,23.04,47.55,-0.61,0.19,9,28.43,19.12,43.63,-0.64,0.2,9,26.21,17.96,43.69,-0.7,0.2,8,24.76,16.99,41.75,-0.83,0.19,9,22.49,12.44,32.54,-0.74,0.19,9,26.32,15.31,35.89,-0.7,0.18,10,26.54,18.01,35.55,-0.9,0.19,10,21.8,9.95,30.33,-0.93,0.19,10,19.91,9.48,28.91,-1.07,0.2,10,14.42,6.25,25.96,-0.88,0.19,10,20.67,10.1,30.77,-0.34,0.2,10,40.87,26.92,52.88,-0.18,0.19,10,44.71,33.65,59.62,-0.18,0.19,10,46.15,33.17,61.06,-0.44,0.19,10,36.06,22.6,47.6,-0.48,0.2,9,34.13,21.15,45.67,-0.62,0.21,8,29.81,14.9,42.31
Armenia,ARM,-0.28,0.34,3,44.02,22.28,62.5,-0.25,0.32,4,41.3,22.28,61.41,-0.17,0.31,5,44.02,24.46,64.13,0.06,0.24,6,57.3,41.08,64.32,0.17,0.2,6,58.92,50.27,65.95,0.11,0.2,7,57.21,47.26,64.68,0.09,0.16,9,55.88,50,60.29,0.29,0.18,11,58.82,53.92,66.67,0.27,0.18,11,59.22,51.94,67.48,0.3,0.17,11,60.68,53.4,66.99,0.27,0.16,11,60.77,53.11,68.42,0.27,0.15,11,60.29,53.11,66.99,0.25,0.15,11,59.24,52.61,66.82,0.33,0.16,12,62.09,54.03,71.09,0.24,0.17,12,59.72,52.13,67.3,0.16,0.2,11,56.25,48.08,67.79,0.2,0.19,11,60.58,49.04,67.79,0.21,0.2,9,62.98,49.52,68.75,0.24,0.21,8,63.46,49.04,71.63,0.36,0.21,8,64.9,53.85,74.52,0.26,0.21,8,62.5,49.04,72.6,0.25,0.23,7,60.58,45.67,72.6,0.15,0.24,6,57.21,43.75,69.23
American Samoa,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.32,1,66.17,52.74,79.1,0.37,0.21,1,61.27,53.92,70.59,0.36,0.31,1,61.76,50.49,75.98,0.38,0.37,1,62.62,49.03,79.61,0.39,0.38,1,63.11,47.57,79.61,0.4,0.41,1,63.64,44.5,80.86,0.39,0.46,1,64.59,39.71,83.25,0.39,0.46,1,62.56,38.39,83.89,0.36,0.5,1,63.51,34.6,86.26,0.36,0.5,1,63.51,35.07,86.26,0.18,0.51,1,58.65,28.37,80.77,0.17,0.46,1,59.62,30.77,78.85,0.13,0.49,1,60.1,26.92,79.81,-0.26,0.47,1,42.31,13.46,70.67,-0.29,0.49,1,40.38,11.54,69.23,-0.3,0.49,1,41.35,11.06,68.75,0.54,0.52,1,71.63,40.38,90.38,0.55,0.49,1,70.67,43.75,87.98
Antigua and Barbuda,ATG,0.79,0.39,1,73.91,61.41,90.22,0.77,0.44,1,73.37,54.35,94.02,0.75,0.42,1,76.09,57.07,90.22,0.7,0.37,1,70.81,57.3,87.57,0.68,0.28,1,70.81,61.62,81.62,0.58,0.3,2,68.66,56.72,79.6,0.58,0.21,2,66.67,58.33,76.47,0.55,0.3,2,66.67,54.41,79.9,0.53,0.35,2,67.48,51.94,83.98,0.64,0.38,1,68.93,53.4,86.89,0.65,0.41,1,71.77,52.15,87.56,0.64,0.46,1,72.73,50.72,89.95,0.63,0.46,1,72.51,50.24,91,0.6,0.5,1,71.09,45.02,91,0.6,0.5,1,69.67,45.02,90.05,0.53,0.51,1,69.23,41.83,89.42,0.37,0.36,2,65.38,45.67,79.33,0.34,0.36,2,65.87,43.75,79.81,0.25,0.35,2,63.94,40.38,76.92,0.41,0.36,2,66.83,46.15,81.25,0.48,0.36,2,68.27,49.04,82.21,0.51,0.37,2,69.71,48.56,83.65,0.39,0.36,2,65.87,45.19,81.25
Australia,AUS,1.37,0.28,6,90.22,77.17,97.83,1.43,0.27,6,92.39,78.8,98.37,1.58,0.23,6,94.02,85.87,98.91,1.42,0.23,6,89.19,80,97.84,1.58,0.2,6,92.97,86.49,100,1.71,0.21,6,96.02,88.06,100,1.6,0.17,6,94.12,88.73,100,1.62,0.22,6,95.1,86.76,100,1.68,0.23,6,95.63,86.89,100,1.77,0.24,6,96.6,88.83,100,1.82,0.22,7,99.04,92.34,100,1.7,0.24,7,96.65,86.12,100,1.85,0.22,8,98.1,91.94,100,1.78,0.23,8,97.16,90.52,100,1.79,0.22,8,97.16,90.52,100,1.86,0.23,8,98.08,91.35,100,1.78,0.22,8,96.15,91.35,99.04,1.89,0.23,8,97.6,91.83,100,1.93,0.22,8,98.08,91.35,100,1.9,0.22,8,98.08,91.35,100,1.87,0.22,8,98.56,91.35,100,1.82,0.23,7,98.08,90.87,99.52,1.84,0.23,7,98.56,90.38,99.52
Austria,AUT,1.66,0.28,6,96.2,84.24,99.46,1.35,0.27,6,90.76,76.09,97.28,1.48,0.23,6,92.93,83.15,98.91,1.54,0.23,6,92.97,83.24,100,1.54,0.2,6,91.89,85.41,99.46,1.51,0.21,6,91.54,83.08,99.5,1.6,0.17,6,95.1,88.73,100,1.64,0.22,6,96.08,87.75,100,1.69,0.23,6,96.12,86.89,100,1.61,0.24,6,94.17,85.92,100,1.45,0.22,7,92.34,81.34,98.09,1.45,0.24,7,92.34,81.34,98.56,1.38,0.22,8,90.52,79.62,95.73,1.52,0.23,8,91.47,84.83,98.58,1.48,0.22,8,91.47,83.41,98.58,1.48,0.23,8,91.35,82.69,97.6,1.4,0.22,8,91.35,80.29,95.19,1.44,0.23,8,91.35,82.21,95.67,1.44,0.22,8,90.87,81.73,95.19,1.53,0.22,8,91.35,84.13,97.6,1.46,0.22,8,91.35,82.69,97.12,1.41,0.23,7,90.87,81.73,96.63,1.35,0.23,7,87.98,81.25,95.19
Azerbaijan,AZE,-1.2,0.31,4,11.41,3.8,23.91,-1.05,0.29,5,15.76,6.52,27.17,-0.86,0.27,6,18.48,10.33,33.7,-0.73,0.22,7,24.86,14.05,40.54,-0.6,0.18,7,30.27,18.92,45.41,-0.62,0.19,8,27.86,18.41,44.28,-0.58,0.16,11,29.9,22.06,43.63,-0.52,0.18,11,32.84,21.57,49.02,-0.47,0.18,11,34.47,22.33,50,-0.37,0.17,10,41.75,27.67,51.94,-0.32,0.16,11,41.63,30.14,52.15,-0.39,0.16,11,38.28,27.27,48.33,-0.39,0.17,10,37.44,27.96,50.71,-0.49,0.19,10,33.18,23.7,46.45,-0.43,0.19,10,36.49,24.64,47.87,-0.27,0.2,10,43.75,30.77,53.37,-0.35,0.2,10,40.87,28.37,51.92,-0.39,0.2,9,39.42,25.48,51.92,-0.36,0.21,8,38.94,26.44,53.37,-0.3,0.21,8,39.9,27.4,58.17,-0.21,0.21,8,44.23,31.25,61.54,-0.32,0.24,6,39.9,25.96,55.29,-0.06,0.24,6,50.48,36.06,64.42
Burundi,BDI,-1.64,0.36,2,4.89,0.54,14.67,-1.58,0.39,2,6.52,0,16.85,-1.14,0.42,1,14.67,3.26,30.43,-1.21,0.3,2,11.89,2.7,25.41,-1.2,0.24,2,11.35,3.24,21.08,-1.19,0.21,4,10.95,5.47,19.9,-1.34,0.16,6,8.33,3.43,15.2,-1.19,0.17,8,11.27,5.39,19.61,-1.23,0.17,8,9.71,4.85,17.96,-1.24,0.16,8,8.74,3.4,17.48,-1.17,0.17,8,11.48,6.22,20.57,-1.12,0.16,8,12.92,6.22,20.1,-1.02,0.16,8,15.64,8.53,24.64,-0.95,0.18,9,18.96,9,27.96,-0.9,0.18,9,21.8,9.95,29.86,-0.73,0.18,9,26.44,15.38,36.06,-0.74,0.17,9,26.44,14.42,35.58,-0.84,0.18,9,21.15,10.58,30.29,-0.85,0.18,9,17.79,10.58,30.29,-0.99,0.17,9,13.46,8.65,25.96,-0.97,0.18,9,13.94,8.65,26.44,-1.04,0.19,8,12.02,8.17,25.48,-0.98,0.18,7,13.94,8.65,26.92
Belgium,BEL,1.21,0.28,6,84.78,72.28,96.2,1.01,0.27,6,79.35,68.48,92.39,1.15,0.23,6,85.87,76.09,92.93,1.25,0.23,6,85.95,73.51,94.59,1.28,0.2,6,87.03,77.3,93.51,1.35,0.21,6,88.06,78.61,95.52,1.27,0.17,6,87.25,77.94,93.14,1.33,0.22,6,88.73,78.43,97.06,1.42,0.23,6,91.26,81.55,97.57,1.41,0.24,6,91.75,79.61,97.57,1.31,0.22,7,87.56,77.51,95.69,1.28,0.24,7,85.65,77.51,95.22,1.24,0.22,8,86.73,77.25,92.89,1.22,0.23,8,86.73,76.3,94.31,1.28,0.22,8,87.68,78.2,94.31,1.15,0.23,8,84.13,75.96,91.83,1.28,0.22,8,88.46,78.85,92.31,1.34,0.23,8,88.46,80.29,93.27,1.24,0.22,8,86.54,78.85,91.83,1.27,0.22,8,86.54,79.33,93.27,1.29,0.22,7,87.5,76.44,94.23,1.35,0.24,6,88.94,80.77,96.15,1.34,0.23,7,87.02,81.25,95.19
Benin,BEN,-0.18,0.36,2,47.83,23.37,64.67,-0.15,0.39,2,48.37,22.28,65.76,-0.16,0.37,2,45.11,21.74,65.22,-0.57,0.28,3,33.51,14.59,50.27,-0.62,0.23,3,27.57,17.84,48.11,-0.62,0.2,5,28.36,17.41,44.28,-0.64,0.16,7,25.98,20.59,42.16,-0.46,0.16,9,36.27,22.55,49.51,-0.51,0.16,9,32.52,22.33,48.06,-0.55,0.16,9,31.07,20.87,46.12,-0.4,0.16,9,37.8,26.32,49.76,-0.4,0.15,9,37.32,27.27,47.37,-0.4,0.16,9,36.97,27.96,49.76,-0.4,0.18,9,37.91,27.01,50.24,-0.42,0.18,9,37.44,25.59,47.39,-0.62,0.19,8,29.81,17.31,41.83,-0.6,0.17,9,30.29,18.75,43.27,-0.57,0.18,9,29.33,19.71,43.27,-0.51,0.18,9,32.21,22.12,44.23,-0.38,0.17,9,37.02,26.44,48.56,-0.43,0.18,9,36.54,24.52,46.63,-0.47,0.19,8,36.06,23.08,44.71,-0.43,0.17,9,37.02,25.96,46.63
