Economy ,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Russian Federation,RUS,,,,,,,,,,,,,,,,,,,,,14.6,16.3,17.2,18.1,18.3,18.8,19.2,18.5,18.9
Rwanda,RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2,69.7
Samoa,WSM,,,,,,,,,,,,,,,,,,,,,,,44.3,,,,,32.8,
Senegal,SEN,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,
Serbia,SRB,,,,,,,,,,,,,,,,,,,20.6,19.3,,13.8,11.5,15.8,16.3,13.4,13.8,11.9,10.7
South Africa,ZAF,,,,,,,,,,,27.2,27.9,21.5,20.5,19.9,22.1,21.4,20.5,46.8,45.9,47.7,45.3,45.1,44.2,43.6,45.7,45.2,45.0,45.2
Sri Lanka,LKA,,,,,,,,,,,,,,,,,,,,,64.2,64.0,,63.4,62.1,62.0,61.7,60.1,
Sudan,SDN,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,,,
Tanzania,TZA,,,,,,,,,,,,,,,,,,,,,,,,,87.1,,,,
Thailand,THA,,,,,,,,,,,,,,,,,,,,,,,,,57.6,55.9,55.7,52.0,47.6
Timor-Leste,TLS,,,,,,,,,,,,,,,,,,,,,64.6,,,62.5,,,,,
Togo,TGO,,,,,,,,,,,,,,,,,,,,,,,,,91.5,,,87.7,
Tonga,TON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4
Uganda,UGA,,,,,,,,,,,,,,,,,,,,,,,84.9,,,,,78.0,
Uruguay,URY,,,,,,,,,,,,,,,,,44.3,44.1,43.1,42.7,41.8,39.3,37.7,37.2,25.8,26.0,26.8,26.6,26.7
Vietnam,VNM,,,,,,,,,,,,,,,,,,74.4,,73.2,,,,71.3,66.8,64.2,62.6,62.1,60.1
West Bank and Gaza,PSE,,,,,,,,,,,,,,,,,,,,,33.0,32.8,32.9,31.7,28.9,33.9,34.6,34.6,33.8
"Yemen, Rep.",YEM,,,,,,,,,,,,,,,,,,,,,,,,,70.2,,,,
Zambia,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1,58.7
Zimbabwe,ZWE,,,,,,,,,,,,,,,,,,,,,,77.4,,,79.2,,,,
