Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Real interest rate (%),FR.INR.RINR,Afghanistan,AFG,..,..,7.17438724378046,9.78449593802674,14.3516893399556,12.2525481623247,17.5839381607368,12.1411782947912,..,..,..,..
Real interest rate (%),FR.INR.RINR,Albania,ALB,1.43757004142398,15.5754116055596,9.73611207346728,9.51039749125922,6.32455753333484,7.27249242163997,7.41372325944537,4.70072680745347,4.39470533423615,4.95695478571497,5.40567035480991,0.0884117892613063
Real interest rate (%),FR.INR.RINR,Algeria,DZA,..,-10.3343779992203,0.504068361760924,8.1008628376916,8.32560557620658,15.4532587760191,6.35272335490907,1.5126754242203,1.16400344079826,8.50784373734826,14.2959799677903,-6.68477787571787
Real interest rate (%),FR.INR.RINR,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Real interest rate (%),FR.INR.RINR,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Real interest rate (%),FR.INR.RINR,Angola,AGO,..,-60.7813270387995,8.76259485211296,12.6058526338601,12.3777859689274,21.139895235142,-4.92195464321266,-5.55533416421707,-5.84395604159954,0.0932099035319251,1.26444213838652,-10.6388168103798
Real interest rate (%),FR.INR.RINR,Antigua and Barbuda,ATG,8.84355925614215,10.4558431566968,7.95945311994109,11.0030464701126,8.0072745506121,6.61788471463213,7.5596847898227,10.3359724772332,6.47145424287028,8.38580317149492,5.83699667646201,5.3030852421409
Real interest rate (%),FR.INR.RINR,Argentina,ARG,..,..,-6.74819555440488,-5.48583918237899,-11.6006987702161,-1.31470878459509,-7.00603984304116,0.455892832330463,4.56440909873515,12.1039696489828,-7.63108287070969,-12.0621392648759
Real interest rate (%),FR.INR.RINR,Armenia,ARM,..,33.3984630599644,11.2811932906832,12.2168430436348,13.7812486601176,16.1800096730379,17.0423595080455,11.9973399575166,9.73397739946579,10.9595785635957,9.63911033939826,4.58062816586857
Real interest rate (%),FR.INR.RINR,Aruba,ABW,4.56664085880443,10.9268022161988,8.21727796856164,10.6993243243243,4.85160128102481,4.358079175325,8.40653990156212,8.19771800178289,7.7387238341576,1.10674730711265,12.2287174295971,..
Real interest rate (%),FR.INR.RINR,Australia,AUS,9.66788223620535,5.02755833808444,5.0905495215932,6.34251991175594,4.46059618837334,6.20622193472807,6.06270092255693,1.44803743397173,3.3700362625426,1.64730609155243,..,..
Real interest rate (%),FR.INR.RINR,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
Real interest rate (%),FR.INR.RINR,Azerbaijan,AZE,..,6.36757302509518,15.0296068894244,17.6862204009871,19.3916777101463,28.9454418522707,1.48583383570765,0.318577982868449,4.691769977505,17.5649086189187,26.5368212837468,-3.90482418433783
Real interest rate (%),FR.INR.RINR,"Bahamas, The",BHS,3.73669961211564,5.03169398360115,1.43580032378823,3.26981245370623,0.830597823616353,-0.322377749717439,4.09116100410452,2.88313113514878,2.84484732844517,2.70808214135325,8.01642450108648,2.59114548411955
Real interest rate (%),FR.INR.RINR,Bahrain,BHR,3.41972661628232,-14.1458564333436,2.93184586033418,5.52961851204117,7.66732842513014,15.8862914503003,..,..,..,..,..,..
Real interest rate (%),FR.INR.RINR,Bangladesh,BGD,7.80321557561992,8.99820323770434,5.34333265720871,5.98869390805347,6.88586627486413,5.51264431652152,-13.6421356403402,4.27653989369391,3.63430365848223,5.6895529720442,4.28919749796143,3.07621509663175
Real interest rate (%),FR.INR.RINR,Barbados,BRB,7.41201551811264,11.6646436233662,9.34724802098625,5.58862724367982,7.84843629788376,10.0658543280844,8.30838781178112,5.30134102694198,4.51292852106772,3.30828590793385,6.74876365196417,4.01597161373787
Real interest rate (%),FR.INR.RINR,Belarus,BLR,..,-41.2295490194762,-31.8270993969285,-1.7516160714714,0.538935443768887,1.77624138938043,5.59163351980418,0.953355741211775,-3.07064409440835,0.365104131101659,-2.56941850742434,-2.59434669204673
Real interest rate (%),FR.INR.RINR,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..
Real interest rate (%),FR.INR.RINR,Belize,BLZ,-14.62433712908,14.5296116523712,11.6551475780563,9.35327808923555,9.49990699678574,10.2953262330852,7.62807004643632,6.31271603496597,8.93706136590452,9.18953868672508,9.39375928116839,4.31247639629684
Real interest rate (%),FR.INR.RINR,Benin,BEN,..,..,-2.46960852040217,3.83659295370063,5.5999917955037,4.26633438639015,4.58009973405583,7.3290211343054,6.05231396720484,7.11417048688278,3.55682486298969,7.88244238119669
Real interest rate (%),FR.INR.RINR,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Real interest rate (%),FR.INR.RINR,Bhutan,BTN,8.2807943973197,8.05755754595259,4.41479520402849,7.71480955493276,6.64419679566139,10.9492914093935,9.35645672842586,8.70090456808108,12.0290387343012,12.9842110113491,6.32017034768827,8.87911723609927
Real interest rate (%),FR.INR.RINR,Bolivia,BOL,21.9711391744352,27.9483957185946,3.7671913920337,4.77002914125702,7.49119854684652,13.3088030350118,9.43472490521656,1.93142092448395,4.8332593604001,9.15598643187736,9.6250968126387,3.89561014512531
Real interest rate (%),FR.INR.RINR,Bosnia and Herzegovina,BIH,..,..,6.48156475456032,7.27647830344402,5.58529958954557,4.36356276459313,3.77804917271448,2.63846192967038,1.01476922245617,0.639267046525083,2.89078262196752,-1.59929046609535
