Estimate,StdErr,NumSrc,Rank,Lower,Upper
0.85,0.18,6.00,78.37,70.19,82.69
-0.88,0.14,12.00,20.19,12.50,29.81
-0.47,0.14,13.00,38.46,27.40,50.00
-0.08,0.18,8.00,54.81,43.27,62.02
-0.67,0.15,14.00,29.33,17.79,41.83
-0.93,0.17,11.00,16.83,8.65,29.81
1.22,0.43,1.00,87.02,69.23,95.19
0.32,0.18,10.00,64.90,57.21,70.67
-0.76,0.14,13.00,25.00,15.38,35.58
0.40,0.13,12.00,66.35,61.06,70.67
0.26,0.16,10.00,62.50,56.25,69.23
-0.70,0.15,12.00,27.88,15.87,40.87
-1.28,0.13,15.00,7.69,2.88,13.46
-0.89,0.14,13.00,19.23,12.50,29.81
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1.96,0.13,10.00,95.67,92.79,98.56
2.22,0.14,10.00,99.04,95.67,100.00
-0.59,0.15,12.00,33.17,22.60,46.15
-0.48,0.89,1.00,37.98,0.00,79.81
2.25,0.14,10.00,99.52,95.67,100.00
0.30,0.16,7.00,63.94,57.69,70.19
-0.84,0.14,13.00,23.08,13.46,30.77
-0.37,0.14,11.00,43.75,31.25,53.37
-0.48,0.89,1.00,37.98,0.00,79.81
-0.60,0.13,14.00,31.73,23.56,42.79
-0.44,0.13,13.00,41.35,29.81,51.44
-0.91,0.17,9.00,17.79,9.62,29.81
0.68,0.12,13.00,72.60,68.27,78.85
0.46,0.26,4.00,67.79,57.69,78.85
-1.30,0.19,5.00,7.21,0.00,15.38
0.91,0.13,11.00,79.33,74.04,82.21
-1.01,0.16,12.00,15.38,8.17,25.96
0.98,0.15,9.00,80.29,75.00,87.02
0.63,0.43,1.00,72.12,54.81,88.94
-0.22,0.12,14.00,51.92,41.83,55.29
-0.92,0.13,12.00,17.31,12.50,27.40
0.78,0.17,12.00,75.48,68.75,81.73
0.36,0.33,3.00,65.38,52.40,78.85
0.08,0.16,8.00,59.62,52.40,64.90
-1.46,0.16,12.00,3.37,0.00,8.65
0.06,0.13,15.00,58.65,52.88,62.98
2.07,0.13,11.00,96.15,95.19,100.00
-0.27,0.26,6.00,49.52,27.40,61.06
-0.95,0.13,15.00,15.87,11.06,27.40
-0.37,0.14,13.00,43.27,31.25,52.88
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
-1.66,0.17,8.00,0.00,0.00,4.81
0.01,0.22,7.00,57.21,44.71,65.38
-0.45,0.18,6.00,40.38,26.44,52.88
0.12,0.13,13.00,60.10,54.33,64.90
0.72,0.13,13.00,74.52,69.23,79.33
2.11,0.13,10.00,97.60,95.19,100.00
-0.26,0.21,8.00,50.00,31.25,59.62
0.58,0.22,6.00,70.67,62.02,79.33
-1.56,0.17,8.00,1.44,0.00,7.21
-1.33,0.17,11.00,6.25,0.00,13.46
-0.90,0.15,12.00,18.27,11.06,29.81
-0.48,0.13,13.00,37.02,28.37,49.04
-1.13,0.17,11.00,12.02,3.85,20.19
-1.18,0.18,6.00,10.58,2.88,20.19
-0.53,0.21,7.00,36.06,20.19,52.40
-0.27,0.33,3.00,49.04,23.56,62.98
-0.46,0.18,7.00,39.42,25.48,52.40
-0.02,0.14,13.00,55.77,50.96,62.02
-0.13,0.13,13.00,53.85,44.71,59.62
0.03,0.33,3.00,57.69,36.06,70.19
0.80,0.14,11.00,75.96,70.19,81.73
-0.76,0.13,15.00,25.48,15.38,35.58
-1.10,0.13,15.00,12.98,6.73,20.19
-1.02,0.13,13.00,14.42,8.65,23.56
1.39,0.14,13.00,89.90,82.69,91.83
1.37,0.13,12.00,89.42,82.69,91.35
-1.19,0.15,12.00,9.62,3.85,15.38
0.69,0.34,2.00,74.04,60.10,87.02
-1.39,0.13,14.00,4.81,0.00,10.58
0.63,0.43,1.00,72.12,54.81,88.94
-0.44,0.13,14.00,41.83,29.81,51.44
0.48,0.28,5.00,68.27,57.21,79.33
-0.28,0.26,5.00,48.56,27.40,60.58
1.20,0.40,1.00,84.13,69.71,95.19
-1.57,0.16,10.00,0.96,0.00,7.21
-0.25,0.13,12.00,50.48,39.42,55.29
-0.12,0.13,14.00,54.33,45.67,59.62
-1.32,0.16,12.00,6.73,0.48,13.46
-0.35,0.13,14.00,45.19,34.62,53.85
-1.40,0.13,14.00,4.33,0.00,9.62
